"","Credit.Rating","Balance.of.Current.Account","Duration.of.Credit","Payment.of.Previous.Credits","Purpose.of.Credit","Amount.of.Credit","Value.of.Savings","Employed.by.Current.Employer.for","Installment.in...of.Available.Income","Marital.Status","Gender","Living.in.Current.Household.for","Most.Valuable.Assets","Age","Further.running.credits","Type.of.Apartment","Number.of.previous.credits.at.this.bank","Occupation"
"1","bad","no running account",36,"no problems with current credits","retraining",3003,"no savings","5-8 years","25-35","single","male","< 1 year","life insurance",22,"no further running credits","rented","2- 4","skilled employee"
"2","good","no balance",48,"hesistant","retraining",17085.6,">1400","1-5 years","25-35","single","male","1-5 years","life insurance",46,"at other banks","rented","one","executive/self-employed"
"3","bad",">$300",36,"no previous credits","used car",15363.6,"no savings","unemployed","< 15","divorced/living apart/married","female","1-5 years","life insurance",24,"no further running credits","rented","2- 4","executive/self-employed"
"4","good","no running account",24,"paid back","new car",8986.6,"no savings","> 8 years","25-35","divorced/living apart/married","female",">8 years","ownership of house or land",42,"no further running credits","owned","2- 4","executive/self-employed"
"5","good",">$300",24,"no previous credits","retraining",1761.2,"no savings","5-8 years","< 15","single","male","< 1 year","no assets",23,"no further running credits","rented","one","skilled employee"
"6","good","no balance",12,"no previous credits","retraining",1451.8,"<140","5-8 years","15- 25","single","male",">8 years","no assets",37,"no further running credits","rented","one","unskilled with permanant residence"
"7","bad","no running account",30,"no previous credits","used car",4351.2,"no savings","<1 year","25-35","divorced/living apart","male",">8 years","car",29,"no further running credits","rented","one","unskilled with permanant residence"
"8","good","no balance",15,"paid back","furniture",2151.8,">1400","> 8 years","< 15","single","male",">8 years","no assets",48,"no further running credits","rented","2- 4","skilled employee"
"9","good",">$300",15,"paid back","furniture",2059.4,"no savings","1-5 years","< 15","single","male",">8 years","ownership of house or land",33,"no further running credits","owned","2- 4","skilled employee"
"10","bad","no balance",27,"paid back","furniture",3528,"140-700","1-5 years","< 15","single","male","1-5 years","car",21,"no further running credits","rented","2- 4","unskilled with permanant residence"
"11","bad","no balance",24,"no previous credits","used car",5679.8,"no savings","5-8 years","15- 25","divorced/living apart","male","5-8 years","life insurance",41,"no further running credits","rented","one","skilled employee"
"12","bad","no running account",18,"no previous credits","repair",1050,"no savings","unemployed","< 15","divorced/living apart/married","female","< 1 year","no assets",25,"no further running credits","rented","one","unskilled with no permanant residence"
"13","bad","no balance",36,"no problems with current credits","retraining",6237,"no savings","1-5 years","25-35","divorced/living apart","male","1-5 years","no assets",28,"at department store","rented","2- 4","executive/self-employed"
"14","good",">$300",6,"no problems with current credits","retraining",2440.2,"<140","1-5 years","> 35","single","male","1-5 years","no assets",32,"no further running credits","rented","2- 4","unskilled with permanant residence"
"15","good","no running account",12,"no previous credits","other",2650.2,"no savings","1-5 years","< 15","divorced/living apart/married","female",">8 years","car",27,"no further running credits","rented","one","skilled employee"
"16","good",">$300",42,"no previous credits","furniture",10032.4,">1400","5-8 years","25-35","married/widowed","male",">8 years","car",27,"no further running credits","free","one","skilled employee"
"17","good","no running account",48,"no previous credits","new car",6703.2,"no savings","5-8 years","< 15","single","male","5-8 years","car",24,"no further running credits","rented","one","skilled employee"
"18","bad","no balance",24,"problematic running accounts","repair",2571.8,"no savings","5-8 years","< 15","divorced/living apart/married","female",">8 years","ownership of house or land",32,"at other banks","owned","one","unskilled with permanant residence"
"19","good","no balance",24,"paid back","other",5429.2,"<140","<1 year","< 15","divorced/living apart","male","1-5 years","life insurance",35,"no further running credits","rented","one","skilled employee"
"20","good","no balance",48,"no previous credits","business",7533.4,">1400","unemployed","15- 25","single","male",">8 years","ownership of house or land",38,"at other banks","owned","one","unskilled with no permanant residence"
"21","good","<= $300",12,"no previous credits","furniture",4758.6,">1400","> 8 years","25-35","single","male","5-8 years","life insurance",35,"no further running credits","rented","one","executive/self-employed"
"22","good",">$300",24,"paid back","used car",2839.2,"no savings","5-8 years","25-35","single","male","1-5 years","car",28,"no further running credits","rented","2- 4","unskilled with permanant residence"
"23","good","no running account",18,"paid back","other",7422.8,"no savings","> 8 years","25-35","single","male",">8 years","ownership of house or land",34,"no further running credits","owned","5- 6","executive/self-employed"
"24","good",">$300",12,"no previous credits","other",2637.6,"no savings","> 8 years","< 15","single","male",">8 years","life insurance",37,"no further running credits","rented","one","executive/self-employed"
"25","bad",">$300",10,"no previous credits","other",1832.6,">1400","1-5 years","< 15","single","male",">8 years","car",25,"no further running credits","rented","one","unskilled with permanant residence"
