RS,Playoffs
734,0
700,1
712,1
734,0
613,0
748,0
669,1
667,0
758,0
726,1
583,0
676,0
767,0
637,0
609,0
776,0
701,0
650,0
804,1
713,1
684,0
651,0
651,0
619,0
718,1
765,1
697,0
808,1
716,0
731,1
731,1
641,0
708,0
875,0
654,0
654,0
735,0
704,0
735,0
787,1
625,0
615,0
730,0
667,0
644,0
721,1
619,0
718,0
867,1
645,0
713,1
610,0
593,0
556,0
570,0
762,1
707,1
855,1
743,0
624,0
713,0
738,1
613,0
818,0
685,0
752,0
790,1
646,0
770,0
751,0
719,0
611,0
676,0
681,0
667,0
750,0
781,1
656,0
859,1
663,0
772,1
587,0
665,0
513,0
697,1
736,0
802,1
787,1
755,0
655,0
720,0
735,0
741,0
872,1
707,0
724,0
673,0
773,0
804,1
743,0
772,0
643,0
686,0
883,1
780,1
785,0
817,1
671,0
915,1
759,0
820,1
636,0
638,0
640,0
657,0
730,1
803,0
784,0
798,0
710,0
720,0
753,0
782,0
845,1
855,1
811,1
704,0
805,0
747,0
821,0
770,0
712,0
691,0
765,1
700,1
750,1
829,0
799,0
789,0
646,0
799,1
735,0
637,0
671,0
640,0
779,0
774,1
901,0
714,0
641,0
712,1
810,0
756,0
867,1
752,1
693,0
783,0
811,1
860,1
887,0
790,0
723,0
706,0
822,1
735,0
801,0
718,0
804,0
968,1
741,0
892,1
724,0
741,0
794,0
683,0
725,0
782,0
816,0
753,0
673,0
773,0
849,0
768,0
820,0
716,0
868,0
749,0
870,0
813,0
822,1
758,0
735,0
757,0
766,0
820,1
730,0
801,1
834,1
930,1
771,1
865,0
691,0
731,1
756,0
746,0
781,1
689,0
835,0
809,0
746,0
696,0
769,1
729,0
910,1
703,0
741,1
820,0
790,0
740,0
723,0
717,0
693,1
701,0
761,1
685,0
726,0
688,0
722,0
886,1
772,0
807,0
680,0
684,1
699,0
649,0
805,1
750,0
865,0
775,0
639,0
836,1
615,0
803,1
842,0
949,1
789,0
865,0
750,0
858,0
833,0
827,0
718,0
803,1
720,0
761,1
634,0
780,1
635,0
684,0
897,1
793,0
840,0
680,0
768,0
698,0
850,0
855,1
714,0
860,0
719,0
736,0
717,0
907,1
743,0
961,1
724,1
791,0
694,0
699,0
853,0
591,0
751,1
805,0
836,0
574,0
714,0
801,1
711,0
642,0
877,1
768,1
791,0
753,0
678,0
795,0
755,1
876,0
715,0
826,0
894,0
851,1
819,1
708,1
667,0
859,0
706,0
856,0
709,0
739,0
778,0
575,0
699,0
749,0
737,0
713,0
627,0
768,1
735,0
690,0
897,1
800,1
710,0
641,0
662,0
814,0
783,1
787,1
673,0
843,0
813,0
691,0
818,1
729,1
687,0
772,0
777,0
798,0
735,0
897,1
923,0
724,0
742,0
847,1
729,0
758,0
740,0
771,0
670,0
642,0
804,1
884,1
746,0
657,0
789,0
927,1
799,0
814,1
672,0
890,0
767,0
864,0
792,0
810,1
794,0
792,0
764,0
978,1
825,0
950,0
968,0
823,0
731,0
938,0
879,0
798,0
740,0
748,0
738,0
807,1
871,1
947,1
708,0
793,0
752,0
907,1
925,1
887,1
733,0
848,0
861,0
711,0
908,1
840,1
851,0
836,1
747,0
777,0
865,0
1009,1
906,0
747,0
691,0
823,1
856,0
793,0
815,0
686,0
718,0
853,1
900,1
893,0
841,0
775,0
710,0
859,0
872,0
809,0
772,0
945,1
883,0
787,0
665,0
826,1
817,0
876,1
831,1
861,0
750,0
850,1
826,0
722,0
667,0
874,1
714,0
669,0
707,0
