Team,RS,RA,OBP,SLG,BA,Playoffs
ARI,734,688,0.328,0.418,0.259,0
ATL,700,600,0.32,0.389,0.247,1
BAL,712,705,0.311,0.417,0.247,1
BOS,734,806,0.315,0.415,0.26,0
CHC,613,759,0.302,0.378,0.24,0
CHW,748,676,0.318,0.422,0.255,0
CIN,669,588,0.315,0.411,0.251,1
CLE,667,845,0.324,0.381,0.251,0
COL,758,890,0.33,0.436,0.274,0
DET,726,670,0.335,0.422,0.268,1
HOU,583,794,0.302,0.371,0.236,0
KCR,676,746,0.317,0.4,0.265,0
LAA,767,699,0.332,0.433,0.274,0
LAD,637,597,0.317,0.374,0.252,0
MIA,609,724,0.308,0.382,0.244,0
MIL,776,733,0.325,0.437,0.259,0
MIN,701,832,0.325,0.39,0.26,0
NYM,650,709,0.316,0.386,0.249,0
NYY,804,668,0.337,0.453,0.265,1
OAK,713,614,0.31,0.404,0.238,1
PHI,684,680,0.317,0.4,0.255,0
PIT,651,674,0.304,0.395,0.243,0
SDP,651,710,0.319,0.38,0.247,0
SEA,619,651,0.296,0.369,0.234,0
SFG,718,649,0.327,0.397,0.269,1
STL,765,648,0.338,0.421,0.271,1
TBR,697,577,0.317,0.394,0.24,0
TEX,808,707,0.334,0.446,0.273,1
TOR,716,784,0.309,0.407,0.245,0
WSN,731,594,0.322,0.428,0.261,1
ARI,731,662,0.322,0.413,0.25,1
ATL,641,605,0.308,0.387,0.243,0
BAL,708,860,0.316,0.413,0.257,0
BOS,875,737,0.349,0.461,0.28,0
CHC,654,756,0.314,0.401,0.256,0
CHW,654,706,0.319,0.388,0.252,0
CIN,735,720,0.326,0.408,0.256,0
CLE,704,760,0.317,0.396,0.25,0
COL,735,774,0.329,0.41,0.258,0
DET,787,711,0.34,0.434,0.277,1
FLA,625,702,0.318,0.388,0.247,0
HOU,615,796,0.311,0.374,0.258,0
KCR,730,762,0.329,0.415,0.275,0
LAA,667,633,0.313,0.402,0.253,0
LAD,644,612,0.322,0.375,0.257,0
MIL,721,638,0.325,0.425,0.261,1
MIN,619,804,0.306,0.36,0.247,0
NYM,718,742,0.335,0.391,0.264,0
NYY,867,657,0.343,0.444,0.263,1
OAK,645,679,0.311,0.369,0.244,0
PHI,713,529,0.323,0.395,0.253,1
PIT,610,712,0.309,0.368,0.244,0
SDP,593,611,0.305,0.349,0.237,0
SEA,556,675,0.292,0.348,0.233,0
SFG,570,578,0.303,0.368,0.242,0
STL,762,692,0.341,0.425,0.273,1
TBR,707,614,0.322,0.402,0.244,1
TEX,855,677,0.34,0.46,0.283,1
TOR,743,761,0.317,0.413,0.249,0
WSN,624,643,0.309,0.383,0.242,0
ARI,713,836,0.325,0.416,0.25,0
ATL,738,629,0.339,0.401,0.258,1
BAL,613,785,0.316,0.386,0.259,0
BOS,818,744,0.339,0.451,0.268,0
CHC,685,767,0.32,0.401,0.257,0
CHW,752,704,0.332,0.42,0.268,0
CIN,790,685,0.338,0.436,0.272,1
CLE,646,752,0.322,0.378,0.248,0
COL,770,717,0.336,0.425,0.263,0
DET,751,743,0.335,0.415,0.268,0
FLA,719,717,0.321,0.403,0.254,0
HOU,611,729,0.303,0.362,0.247,0
KCR,676,845,0.331,0.399,0.274,0
LAA,681,702,0.311,0.39,0.248,0
LAD,667,692,0.322,0.379,0.252,0
MIL,750,804,0.335,0.424,0.262,0
MIN,781,671,0.341,0.422,0.273,1
NYM,656,652,0.314,0.383,0.249,0
NYY,859,693,0.35,0.436,0.267,1
OAK,663,626,0.324,0.378,0.256,0
PHI,772,640,0.332,0.413,0.26,1
PIT,587,866,0.304,0.373,0.242,0
SDP,665,581,0.317,0.371,0.246,0
SEA,513,698,0.298,0.339,0.236,0
SFG,697,583,0.321,0.408,0.257,1
STL,736,641,0.332,0.402,0.263,0
TBR,802,649,0.333,0.403,0.247,1
TEX,787,687,0.338,0.419,0.276,1
TOR,755,728,0.312,0.454,0.248,0
WSN,655,742,0.318,0.39,0.25,0
ARI,720,782,0.324,0.418,0.253,0
